Date,Open,High,Low,Close,Volume
2016-05-09T04:00:00.000Z,2054,2079.75,2038.5,2043.5,6566324
2016-05-16T04:00:00.000Z,2041.25,2069.5,2022,2050,9135583
2016-05-23T04:00:00.000Z,2053.25,2098.75,2041.25,2097.25,6232375
2016-05-30T04:00:00.000Z,2100,2106,2082.75,2097.75,5994941
2016-06-06T04:00:00.000Z,2097.5,2119.75,2088.5,2096.25,6595894
2016-06-13T04:00:00.000Z,2089.25,2098.25,2050,2078.5,5255550
2016-06-20T04:00:00.000Z,2071,2119.5,1999,2018.5,9908120
2016-06-27T04:00:00.000Z,2013.75,2100.75,1981.5,2096.25,11338523
2016-07-04T04:00:00.000Z,2099.75,2125.5,2065.75,2120.5,7546443
2016-07-11T04:00:00.000Z,2120.25,2168,2120,2152.75,8105701
2016-07-18T04:00:00.000Z,2154.5,2170.25,2151.25,2167.5,5925264
2016-07-25T04:00:00.000Z,2167.75,2172.5,2152,2168.25,7856806
2016-08-01T04:00:00.000Z,2174,2178.5,2141.5,2176.75,7599279
2016-08-08T04:00:00.000Z,2176,2185.25,2167.75,2180.25,6130379
2016-08-15T04:00:00.000Z,2180.75,2190.75,2165.5,2181.75,6817843
2016-08-22T04:00:00.000Z,2181.75,2191.5,2157.5,2168.5,8213810
2016-08-29T04:00:00.000Z,2167.75,2183.75,2154.75,2178,8125763
2016-09-05T04:00:00.000Z,2179.25,2189.25,2119.75,2122.75,7266062
2016-09-12T04:00:00.000Z,2121.75,2162.75,2107,2141.75,5775321
2016-09-19T04:00:00.000Z,2132.25,2172.75,2126.25,2158,7713004
2016-09-26T04:00:00.000Z,2156.25,2168.25,2132.75,2160.5,9291911
2016-10-03T04:00:00.000Z,2158.75,2164,2136,2146.5,8086395
2016-10-10T04:00:00.000Z,2152,2163.5,2107.75,2127,8715929
2016-10-17T04:00:00.000Z,2126.25,2144.5,2116.75,2134.75,6360673
2016-10-24T04:00:00.000Z,2137,2149.75,2112.5,2123.75,7943980
2016-10-31T04:00:00.000Z,2120,2130.5,2078.75,2080,9516989
2016-11-07T05:00:00.000Z,2106,2180.5,2028.5,2161.5,13809685
2016-11-14T05:00:00.000Z,2164.5,2187.5,2152.25,2180.75,7217882
2016-11-21T05:00:00.000Z,2179.5,2211.75,2178.5,2211.25,4154315
2016-11-28T05:00:00.000Z,2208,2213.75,2184.25,2192,8567882
2016-12-05T05:00:00.000Z,2184,2261.25,2179,2260,8676685
2016-12-12T05:00:00.000Z,2260.75,2278.25,2248,2267.5,4733518
2016-12-19T05:00:00.000Z,2256,2269.5,2251.5,2260,3654561
2016-12-26T05:00:00.000Z,2258.75,2269.5,2228,2236.25,3694554
2017-01-02T05:00:00.000Z,2240.75,2277,2239.5,2271.5,6090268
2017-01-09T05:00:00.000Z,2271.25,2275.25,2248.5,2272.5,7009068
2017-01-16T05:00:00.000Z,2270.25,2272.75,2253,2266,5775633
2017-01-23T05:00:00.000Z,2266,2299.5,2251.75,2289,6246578
2017-01-30T05:00:00.000Z,2282,2294,2262.25,2291,7874277
2017-02-06T05:00:00.000Z,2293,2315.75,2281,2312.75,6182602
2017-02-13T05:00:00.000Z,2314.25,2351.5,2313.25,2348,7269381
2017-02-20T05:00:00.000Z,2346.5,2367.5,2346,2365,6063373
2017-02-27T05:00:00.000Z,2362.75,2401,2357.5,2381.25,8041264
2017-03-06T05:00:00.000Z,2380.25,2380.75,2354,2371.75,7482204
2017-03-13T04:00:00.000Z,2370.75,2392,2358,2384.5,4271776
2017-03-20T04:00:00.000Z,2373.75,2378.75,2331.75,2344.75,8759290
2017-03-27T04:00:00.000Z,2337,2366.75,2317.75,2359.25,7126171
2017-04-03T04:00:00.000Z,2357.5,2375,2336.75,2352.25,7933315
2017-04-10T04:00:00.000Z,2351.75,2363.25,2324,2327.5,6329676
2017-04-17T04:00:00.000Z,2324,2358.25,2322.75,2347.5,6414477
2017-04-24T04:00:00.000Z,2365.75,2394.75,2365.25,2380.5,6653919
2017-05-01T04:00:00.000Z,2381.5,2399.25,2375.5,2397.75,5299176
2017-05-08T04:00:00.000Z,2402.5,2403.75,2379,2388.75,5505120
2017-05-15T04:00:00.000Z,2388.75,2404.5,2344.5,2381.5,9060651
2017-05-22T04:00:00.000Z,2381.75,2417.75,2378.25,2413.75,5317537
2017-05-29T04:00:00.000Z,2414,2439.75,2402.75,2437.75,5938193
