Date,Open,High,Low,Close,Volume
2025-12-24T00:00:00.000Z,25814.5,25820,25814.25,25816,0
2025-12-24T00:02:00.000Z,25816,25818.25,25812,25818.25,97
2025-12-24T00:04:00.000Z,25817.25,25819.5,25812.75,25815.75,130
2025-12-24T00:06:00.000Z,25816.5,25823.75,25816,25819,182
2025-12-24T00:08:00.000Z,25819.5,25821.75,25813.75,25820.75,246
2025-12-24T00:10:00.000Z,25821.75,25827,25821.5,25823,165
2025-12-24T00:12:00.000Z,25822,25823.5,25817,25820.5,83
2025-12-24T00:14:00.000Z,25820.25,25821.25,25818.25,25818.5,44
2025-12-24T00:16:00.000Z,25819,25819.75,25815.5,25816.5,74
2025-12-24T00:18:00.000Z,25816.25,25818.5,25814.75,25818,56
2025-12-24T00:20:00.000Z,25817,25820.25,25816.75,25816.75,60
2025-12-24T00:22:00.000Z,25815.5,25820.75,25814.5,25817.25,66
2025-12-24T00:24:00.000Z,25818,25819.25,25816.25,25818,23
2025-12-24T00:26:00.000Z,25817.75,25819.25,25816.25,25816.75,43
2025-12-24T00:28:00.000Z,25817.25,25818,25815.25,25815.25,48
2025-12-24T00:30:00.000Z,25815.75,25816.5,25813,25813,67
2025-12-24T00:32:00.000Z,25814.25,25816.25,25811.75,25815.5,34
2025-12-24T00:34:00.000Z,25815,25815,25812.5,25812.5,20
2025-12-24T00:36:00.000Z,25814.5,25819,25814.5,25818.25,87
2025-12-24T00:38:00.000Z,25817.5,25820.5,25815.25,25816.5,85
2025-12-24T00:40:00.000Z,25817.25,25819.5,25816.5,25817.75,23
2025-12-24T00:42:00.000Z,25817.5,25821.75,25817,25820.25,48
2025-12-24T00:44:00.000Z,25820.25,25820.25,25814.75,25815,42
2025-12-24T00:46:00.000Z,25814.25,25817.25,25813.75,25816.5,53
2025-12-24T00:48:00.000Z,25816.75,25817.5,25814,25815.75,28
2025-12-24T00:50:00.000Z,25816.5,25817.25,25814.5,25815,20
2025-12-24T00:52:00.000Z,25814.75,25817.75,25814.75,25816.75,21
2025-12-24T00:54:00.000Z,25816.5,25817.75,25815,25816,19
2025-12-24T00:58:00.000Z,25815.5,25816.5,25815.25,25815.75,80
2025-12-24T01:00:00.000Z,25816.5,25817.5,25813,25816.25,82
2025-12-24T01:02:00.000Z,25816.25,25816.25,25814,25815,40
2025-12-24T01:04:00.000Z,25813.5,25813.75,25809,25812.5,87
2025-12-24T01:06:00.000Z,25813.25,25815.5,25811.75,25814.75,42
2025-12-24T01:08:00.000Z,25815,25815.5,25811,25813.25,56
2025-12-24T01:10:00.000Z,25813,25815.5,25810.75,25815,42
2025-12-24T01:12:00.000Z,25815.25,25819.25,25815,25818.5,80
2025-12-24T01:14:00.000Z,25818,25818.25,25814.5,25815.25,48
2025-12-24T01:16:00.000Z,25815,25816.5,25813.75,25813.75,46
2025-12-24T01:18:00.000Z,25813.75,25816.75,25813.75,25816.25,32
2025-12-24T01:20:00.000Z,25816.75,25822.5,25816,25817.25,98
2025-12-24T01:22:00.000Z,25818.5,25818.75,25815.75,25816.25,32
2025-12-24T01:24:00.000Z,25815.75,25818.25,25815.75,25816.25,36
2025-12-24T01:26:00.000Z,25816.25,25816.5,25814,25815.75,60
2025-12-24T01:28:00.000Z,25815.25,25815.25,25812.5,25812.5,62
2025-12-24T01:30:00.000Z,25812.5,25813.75,25808.75,25812.75,128
2025-12-24T01:32:00.000Z,25812.75,25814.25,25811.25,25814,45
2025-12-24T01:34:00.000Z,25813.5,25814.75,25810.5,25814,118
2025-12-24T01:36:00.000Z,25815,25819.5,25814.5,25816,88
2025-12-24T01:38:00.000Z,25816,25816,25811.25,25813,67
2025-12-24T01:40:00.000Z,25812.75,25812.75,25808.5,25811.5,59
2025-12-24T01:42:00.000Z,25811.75,25812.25,25802,25804.75,333
2025-12-24T01:44:00.000Z,25805,25810,25804.75,25810,83
2025-12-24T01:46:00.000Z,25811,25811,25806.75,25807.25,51
2025-12-24T01:48:00.000Z,25807.25,25809.25,25806,25808.75,41
2025-12-24T01:50:00.000Z,25808,25812.5,25808,25811,50
2025-12-24T01:52:00.000Z,25810.5,25810.75,25807.25,25808.75,36
2025-12-24T01:54:00.000Z,25809.75,25812.25,25808.75,25808.75,52
2025-12-24T01:56:00.000Z,25808.75,25809.25,25806.75,25807,35
2025-12-24T01:58:00.000Z,25807.5,25810.5,25807.5,25808,46
2025-12-24T02:00:00.000Z,25807,25809,25805.75,25806,55
2025-12-24T02:02:00.000Z,25807,25808.75,25805.75,25808,58
2025-12-24T02:04:00.000Z,25808.75,25809,25805.5,25806.75,66
2025-12-24T02:06:00.000Z,25806.75,25810.5,25805.75,25809,64
2025-12-24T02:08:00.000Z,25809,25811,25807.25,25811,44
2025-12-24T02:10:00.000Z,25810,25812.25,25809,25811,68
2025-12-24T02:12:00.000Z,25811,25811.25,25809.75,25810,25
2025-12-24T02:14:00.000Z,25810.25,25810.75,25808.25,25809,37
2025-12-24T02:16:00.000Z,25808.5,25809.25,25806,25807.5,38
2025-12-24T02:18:00.000Z,25808,25809.75,25806.75,25808.75,25
2025-12-24T02:20:00.000Z,25808.5,25809.5,25806.75,25808,29
2025-12-24T02:22:00.000Z,25808,25808.75,25807.5,25807.5,26
2025-12-24T02:24:00.000Z,25806.75,25806.75,25802.75,25804.5,98
2025-12-24T02:26:00.000Z,25804.75,25804.75,25800,25801.75,177
2025-12-24T02:28:00.000Z,25802.25,25802.5,25797.5,25799.75,160
2025-12-24T02:30:00.000Z,25799.25,25800.75,25797.5,25798,85
2025-12-24T02:32:00.000Z,25798,25799.5,25791.75,25796.25,306
2025-12-24T02:34:00.000Z,25796.75,25796.75,25793,25793.25,80
2025-12-24T02:36:00.000Z,25793.5,25796.5,25792,25792,30
2025-12-24T02:38:00.000Z,25792.5,25795,25791,25794.25,131
2025-12-24T02:40:00.000Z,25795.75,25795.75,25792,25794.25,76
2025-12-24T02:42:00.000Z,25794.75,25795.25,25785.25,25786,223
2025-12-24T02:44:00.000Z,25785.5,25792,25782.75,25791.75,271
2025-12-24T02:46:00.000Z,25791.5,25794,25790.5,25791,80
2025-12-24T02:48:00.000Z,25792,25793.5,25791,25793,42
2025-12-24T02:50:00.000Z,25793.5,25801,25793.5,25798.5,167
2025-12-24T02:52:00.000Z,25799,25799.5,25796.5,25798.25,47
2025-12-24T02:54:00.000Z,25798.5,25799.25,25794.5,25794.5,41
2025-12-24T02:56:00.000Z,25795.75,25797,25794.75,25794.75,16
2025-12-24T02:58:00.000Z,25794,25794.5,25791,25793.25,64
2025-12-24T03:00:00.000Z,25793,25795,25790.5,25791.75,79
2025-12-24T03:02:00.000Z,25792,25792,25786.25,25787.5,85
2025-12-24T03:04:00.000Z,25788.5,25793,25786.5,25791.5,120
2025-12-24T03:06:00.000Z,25791.5,25793,25789.5,25792,63
2025-12-24T03:08:00.000Z,25792.25,25794,25790,25793,24
2025-12-24T03:10:00.000Z,25792.75,25793.5,25791,25793,26
2025-12-24T03:12:00.000Z,25792.5,25793,25790,25791.5,37
2025-12-24T03:14:00.000Z,25792,25794,25791,25793.25,38
2025-12-24T03:16:00.000Z,25792.25,25793.5,25790.75,25791.5,27
2025-12-24T03:18:00.000Z,25791.25,25794.5,25791.25,25793,47
2025-12-24T03:20:00.000Z,25792.5,25793.75,25791,25792.5,21
2025-12-24T03:22:00.000Z,25792.5,25796,25792,25793.25,95
2025-12-24T03:24:00.000Z,25794.75,25796.75,25794.25,25795,52
2025-12-24T03:26:00.000Z,25794,25795.5,25792.5,25793.75,36
2025-12-24T03:28:00.000Z,25793,25796.75,25793,25796,25
2025-12-24T03:30:00.000Z,25795.25,25798.75,25794.75,25798.75,56
2025-12-24T03:32:00.000Z,25798.75,25802.5,25798,25798,160
2025-12-24T03:34:00.000Z,25797.25,25800,25796.25,25797.75,42
2025-12-24T03:36:00.000Z,25797.25,25797.25,25795,25796.25,32
2025-12-24T03:38:00.000Z,25795.5,25798.25,25795.5,25797.5,8
2025-12-24T03:40:00.000Z,25797,25799.5,25796.5,25798,27
2025-12-24T03:42:00.000Z,25797.75,25800.5,25797.75,25800,26
2025-12-24T03:44:00.000Z,25800.25,25801.75,25798.75,25801.75,51
2025-12-24T03:46:00.000Z,25801.25,25801.25,25799.25,25800.5,45
2025-12-24T03:48:00.000Z,25800,25802.25,25800,25801.5,18
2025-12-24T03:50:00.000Z,25802.25,25802.5,25798.75,25800,52
2025-12-24T03:52:00.000Z,25798.75,25800,25798,25798.25,32
2025-12-24T03:54:00.000Z,25798.75,25800,25797.5,25799.75,24
2025-12-24T03:56:00.000Z,25799.75,25799.75,25795.75,25797.75,60
2025-12-24T03:58:00.000Z,25798.5,25798.5,25797,25797,20
2025-12-24T04:00:00.000Z,25796.25,25797.5,25794.75,25797.5,82
2025-12-24T04:02:00.000Z,25797.25,25799.25,25797.25,25797.75,20
2025-12-24T04:04:00.000Z,25798.5,25801.5,25798.5,25800,73
2025-12-24T04:06:00.000Z,25799.75,25799.75,25797,25797.25,18
2025-12-24T04:08:00.000Z,25796.75,25801.75,25796.75,25801.25,25
2025-12-24T04:10:00.000Z,25800.75,25802.25,25798.5,25798.5,29
2025-12-24T04:12:00.000Z,25798.75,25800.25,25798.75,25799.5,11
2025-12-24T04:14:00.000Z,25800,25800.5,25798,25798.75,25
2025-12-24T04:16:00.000Z,25798,25798,25795.75,25797.75,24
2025-12-24T04:18:00.000Z,25797.75,25798.75,25796.75,25796.75,17
2025-12-24T04:20:00.000Z,25797,25798,25793.75,25795.25,71
2025-12-24T04:22:00.000Z,25794.5,25795.25,25792.75,25793.75,47
2025-12-24T04:24:00.000Z,25793.25,25794.5,25791.25,25792.5,57
2025-12-24T04:26:00.000Z,25792.75,25792.75,25791.25,25791.25,24
2025-12-24T04:28:00.000Z,25791.25,25792.5,25788.75,25791,79
2025-12-24T04:30:00.000Z,25790.75,25793.25,25790.5,25791.25,45
2025-12-24T04:32:00.000Z,25791.5,25792.25,25791.5,25791.5,7
2025-12-24T04:34:00.000Z,25792.25,25792.25,25789.5,25790,20
2025-12-24T04:36:00.000Z,25789,25790.75,25789,25789.75,19
2025-12-24T04:38:00.000Z,25789.5,25789.5,25785.25,25789.25,135
2025-12-24T04:40:00.000Z,25788.75,25791.5,25788.25,25790,48
2025-12-24T04:42:00.000Z,25790.75,25791.5,25789.5,25789.5,15
2025-12-24T04:44:00.000Z,25789.5,25789.5,25787.75,25788,19
2025-12-24T04:46:00.000Z,25787.5,25789,25785.25,25785.25,87
2025-12-24T04:48:00.000Z,25786,25787.25,25786,25786,28
2025-12-24T04:50:00.000Z,25786.5,25787.25,25785.75,25786.5,17
2025-12-24T04:52:00.000Z,25785.75,25787.75,25785,25786,70
2025-12-24T04:54:00.000Z,25785.5,25786,25781.5,25784,183
2025-12-24T04:56:00.000Z,25783.25,25784.25,25781,25783,60
2025-12-24T04:58:00.000Z,25783.25,25784,25781.25,25783,42
2025-12-24T05:08:00.000Z,25783.5,25783.75,25781.5,25782.5,26
2025-12-24T05:10:00.000Z,25783.5,25783.5,25781.25,25782,18
2025-12-24T05:12:00.000Z,25781.5,25782.5,25781,25781.25,29
2025-12-24T05:14:00.000Z,25781,25783.5,25781,25783,12
2025-12-24T05:16:00.000Z,25783.25,25784,25782,25784,17
2025-12-24T05:18:00.000Z,25783.75,25784,25781.5,25782.5,30
2025-12-24T05:20:00.000Z,25782.75,25783.25,25781,25781,26
2025-12-24T05:22:00.000Z,25781,25781.75,25780,25781,38
2025-12-24T05:24:00.000Z,25781.75,25785,25781.75,25784.75,71
2025-12-24T05:26:00.000Z,25784.25,25788.25,25784.25,25788.25,54
2025-12-24T05:28:00.000Z,25787.25,25788,25786.25,25787,30
2025-12-24T05:30:00.000Z,25785.5,25787.25,25785,25786.75,35
2025-12-24T05:32:00.000Z,25786.75,25791,25786.75,25791,59
2025-12-24T05:34:00.000Z,25790.25,25792.5,25788.5,25790.5,113
2025-12-24T05:36:00.000Z,25790,25791.75,25788.25,25789.25,57
2025-12-24T05:38:00.000Z,25790.5,25791.5,25790.25,25791.5,28
2025-12-24T05:40:00.000Z,25791.75,25795.5,25791.75,25794.75,107
2025-12-24T05:42:00.000Z,25795.75,25799,25795,25795.25,108
2025-12-24T05:44:00.000Z,25796,25797.5,25794.5,25795.5,63
2025-12-24T05:46:00.000Z,25795.75,25796,25792.5,25795.5,75
2025-12-24T05:48:00.000Z,25795.25,25796,25794.25,25795,19
2025-12-24T05:50:00.000Z,25795,25796.75,25793.5,25793.5,31
2025-12-24T05:52:00.000Z,25793.75,25794.25,25791.5,25794,71
2025-12-24T05:54:00.000Z,25793.5,25793.5,25791,25792.25,16
2025-12-24T05:56:00.000Z,25792.25,25793,25791.5,25791.75,25
2025-12-24T05:58:00.000Z,25791.5,25792.75,25790.5,25791.25,28
2025-12-24T06:00:00.000Z,25791,25793,25791,25792.25,52
2025-12-24T06:02:00.000Z,25792.75,25796,25792.75,25796,52
2025-12-24T06:04:00.000Z,25795.5,25795.5,25792.5,25793.25,53
2025-12-24T06:06:00.000Z,25794.25,25795.5,25794,25795,18
2025-12-24T06:08:00.000Z,25795.25,25796.5,25793.5,25796.5,25
2025-12-24T06:10:00.000Z,25795.5,25796.5,25794.25,25795.5,23
2025-12-24T06:12:00.000Z,25795.5,25797,25795.25,25797,33
2025-12-24T06:14:00.000Z,25797,25798.25,25795.75,25798.25,40
2025-12-24T06:16:00.000Z,25798.25,25800.5,25797.25,25798,53
2025-12-24T06:18:00.000Z,25797,25799.75,25796.5,25798.75,40
2025-12-24T06:20:00.000Z,25799.75,25800,25797.75,25798,23
2025-12-24T06:22:00.000Z,25797.75,25798.5,25797.5,25797.5,12
2025-12-24T06:24:00.000Z,25797.25,25798.5,25797.25,25798.5,10
2025-12-24T06:26:00.000Z,25798.5,25798.5,25796.75,25797.75,14
2025-12-24T06:28:00.000Z,25797.25,25797.5,25796.25,25797.5,14
2025-12-24T06:30:00.000Z,25796,25796.75,25791.25,25793.5,107
2025-12-24T06:32:00.000Z,25793.75,25795.5,25792.75,25793,41
2025-12-24T06:34:00.000Z,25793.75,25795,25793,25794.25,20
2025-12-24T06:36:00.000Z,25793.75,25795,25793.25,25795,14
2025-12-24T06:38:00.000Z,25794.5,25798.5,25793.5,25798.5,37
2025-12-24T06:40:00.000Z,25798.5,25798.5,25795.5,25796,24
2025-12-24T06:42:00.000Z,25795.75,25797,25795,25796.5,35
2025-12-24T06:44:00.000Z,25796.75,25796.75,25794.25,25795,48
2025-12-24T06:46:00.000Z,25795,25795,25794,25794,24
2025-12-24T06:48:00.000Z,25793.5,25794.5,25793.25,25794.5,5
2025-12-24T06:50:00.000Z,25794.5,25794.5,25793.75,25794.25,11
2025-12-24T06:52:00.000Z,25794.25,25794.5,25791.5,25792.5,23
2025-12-24T06:54:00.000Z,25791.75,25792,25790.25,25792,31
2025-12-24T06:56:00.000Z,25791.75,25793,25790.5,25793,18
2025-12-24T06:58:00.000Z,25793.5,25794,25792.5,25793,17
2025-12-24T07:00:00.000Z,25792.75,25794.25,25791.25,25792.75,31
2025-12-24T07:02:00.000Z,25792,25794,25791.5,25791.5,21
2025-12-24T07:04:00.000Z,25792.5,25794,25791.75,25792.25,56
2025-12-24T07:06:00.000Z,25792.5,25793.25,25792,25792.25,14
2025-12-24T07:08:00.000Z,25791.75,25793.75,25791.75,25793.75,37
2025-12-24T07:10:00.000Z,25793.5,25796.25,25791.75,25791.75,97
2025-12-24T07:12:00.000Z,25792.75,25793.25,25790.75,25792.25,34
2025-12-24T07:14:00.000Z,25792.25,25793.5,25791.5,25791.5,43
2025-12-24T07:16:00.000Z,25791.5,25791.5,25787,25788.75,115
2025-12-24T07:18:00.000Z,25789,25789.5,25788,25788.75,40
2025-12-24T07:20:00.000Z,25788.25,25789.75,25787.75,25788,29
2025-12-24T07:22:00.000Z,25787.5,25788.5,25786.25,25786.75,33
2025-12-24T07:24:00.000Z,25787,25787,25784.25,25786.25,60
2025-12-24T07:26:00.000Z,25786.5,25788.75,25786.5,25787.5,28
2025-12-24T07:28:00.000Z,25788.5,25788.5,25784.5,25786,30
2025-12-24T07:30:00.000Z,25787,25791,25786,25789.5,41
2025-12-24T07:32:00.000Z,25788.75,25792.5,25788,25790,78
2025-12-24T07:34:00.000Z,25789.75,25790.75,25789.25,25789.75,18
2025-12-24T07:36:00.000Z,25791.75,25792.5,25789,25789,46
2025-12-24T07:38:00.000Z,25789,25789,25787.5,25787.75,18
2025-12-24T07:40:00.000Z,25787,25788.25,25786.75,25788.25,15
2025-12-24T07:42:00.000Z,25787.25,25788.25,25786,25788.25,86
2025-12-24T07:44:00.000Z,25787.5,25791,25787.5,25791,24
2025-12-24T07:46:00.000Z,25790.25,25792.5,25790,25790.5,67
2025-12-24T07:48:00.000Z,25790.75,25791.5,25789.75,25790.25,19
2025-12-24T07:50:00.000Z,25789.75,25789.75,25789,25789.75,11
2025-12-24T07:52:00.000Z,25789.25,25789.25,25788.25,25788.75,11
2025-12-24T07:54:00.000Z,25789.25,25789.5,25788,25788,20
2025-12-24T07:56:00.000Z,25788,25790.25,25787,25789,43
2025-12-24T07:58:00.000Z,25789,25790,25787.25,25787.75,21
2025-12-24T08:00:00.000Z,25788.5,25792.75,25787.75,25792,115
2025-12-24T08:02:00.000Z,25791.25,25794,25790.75,25793.5,63
2025-12-24T08:04:00.000Z,25794,25795.25,25792.5,25792.5,93
2025-12-24T08:06:00.000Z,25792.25,25795.75,25792,25794.5,55
2025-12-24T08:08:00.000Z,25794.5,25794.75,25793.25,25793.75,24
2025-12-24T08:10:00.000Z,25793.5,25795.25,25791.25,25795.25,55
2025-12-24T08:12:00.000Z,25794.5,25794.75,25791.25,25792,33
2025-12-24T08:14:00.000Z,25791.25,25794.5,25791,25791,52
2025-12-24T08:16:00.000Z,25790.75,25790.75,25788,25790.5,67
2025-12-24T08:18:00.000Z,25790.75,25791.75,25789.75,25791.75,17
2025-12-24T08:20:00.000Z,25791.25,25794.5,25791.25,25793.5,55
2025-12-24T08:22:00.000Z,25793,25794,25792.25,25793.25,28
2025-12-24T08:24:00.000Z,25793.75,25797,25793.25,25795,94
2025-12-24T08:26:00.000Z,25794,25794.75,25793.5,25794.5,11
2025-12-24T08:28:00.000Z,25794.25,25794.25,25792.25,25792.5,24
2025-12-24T08:30:00.000Z,25792.75,25795.25,25791.75,25793.75,106
2025-12-24T08:32:00.000Z,25792.75,25796,25791.25,25792,58
2025-12-24T08:34:00.000Z,25791.75,25795.5,25791.75,25793.5,31
2025-12-24T08:36:00.000Z,25794,25794.5,25792.5,25794.5,13
2025-12-24T08:38:00.000Z,25794,25794.25,25792,25792.25,23
2025-12-24T08:40:00.000Z,25792.5,25793,25791.25,25791.75,55
2025-12-24T08:42:00.000Z,25791.75,25791.75,25788,25789.5,60
2025-12-24T08:44:00.000Z,25790,25792.75,25789,25792.75,32
2025-12-24T08:46:00.000Z,25793,25793.5,25792.25,25793,30
2025-12-24T08:48:00.000Z,25792.75,25795.25,25792,25794.5,40
2025-12-24T08:50:00.000Z,25795,25795,25791.5,25792,33
2025-12-24T08:52:00.000Z,25792.5,25792.5,25787.5,25788.5,54
2025-12-24T08:54:00.000Z,25788.75,25788.75,25787,25787,22
2025-12-24T08:56:00.000Z,25787.25,25788.5,25787,25787.75,19
2025-12-24T08:58:00.000Z,25789,25790.25,25786.75,25789.5,30
2025-12-24T09:00:00.000Z,25789.75,25790.75,25787.5,25787.5,53
2025-12-24T09:02:00.000Z,25787.5,25787.5,25783.5,25786,134
2025-12-24T09:04:00.000Z,25786.5,25787.5,25785.5,25785.75,60
2025-12-24T09:06:00.000Z,25787,25787.5,25786.25,25787.25,38
2025-12-24T09:08:00.000Z,25787.25,25790.5,25787,25790.25,56
2025-12-24T09:10:00.000Z,25789.25,25791.75,25789,25791.5,59
2025-12-24T09:12:00.000Z,25790.5,25795.25,25789.75,25794.5,130
2025-12-24T09:14:00.000Z,25795,25804.5,25795,25803,198
2025-12-24T09:16:00.000Z,25802.25,25807,25802.25,25803,203
2025-12-24T09:18:00.000Z,25803.25,25803.75,25800,25800.25,62
2025-12-24T09:20:00.000Z,25800.25,25803.5,25798.75,25801.5,57
2025-12-24T09:22:00.000Z,25800.75,25802.25,25799.5,25800.25,23
2025-12-24T09:24:00.000Z,25800.75,25801.5,25799.75,25800.5,14
2025-12-24T09:26:00.000Z,25801.75,25802.25,25800.25,25801.25,17
2025-12-24T09:28:00.000Z,25801,25802.5,25801,25802.5,8
2025-12-24T09:30:00.000Z,25801.5,25802.25,25799,25801.25,85
2025-12-24T09:32:00.000Z,25801,25803,25801,25802.5,15
2025-12-24T09:34:00.000Z,25802.5,25802.5,25800.5,25802.25,28
2025-12-24T09:36:00.000Z,25801.75,25804,25801.25,25803,18
2025-12-24T09:38:00.000Z,25802.5,25802.5,25799.5,25800,20
2025-12-24T09:40:00.000Z,25800.25,25802.25,25800,25800.75,51
2025-12-24T09:42:00.000Z,25800.5,25800.5,25798.25,25799.5,29
2025-12-24T09:44:00.000Z,25799.5,25799.5,25797.5,25797.5,21
2025-12-24T09:46:00.000Z,25797.75,25798.5,25796.25,25798.25,25
2025-12-24T09:48:00.000Z,25798,25799.5,25797.25,25798.5,17
2025-12-24T09:50:00.000Z,25798.25,25800,25797.75,25799,25
2025-12-24T09:52:00.000Z,25799,25800.25,25798.75,25799.25,14
2025-12-24T09:54:00.000Z,25798.5,25799.25,25798.5,25798.5,5
2025-12-24T09:56:00.000Z,25798.75,25798.75,25797,25798.75,22
2025-12-24T09:58:00.000Z,25799.5,25800,25798.75,25798.75,7
2025-12-24T10:00:00.000Z,25798.75,25798.75,25795.25,25796.25,57
2025-12-24T10:02:00.000Z,25796.5,25796.5,25792.75,25792.75,53
2025-12-24T10:04:00.000Z,25793.25,25793.25,25787,25788.75,116
2025-12-24T10:06:00.000Z,25789,25793,25787.5,25793,59
2025-12-24T10:08:00.000Z,25793,25795.25,25791.5,25794,68
2025-12-24T10:10:00.000Z,25793.5,25793.75,25791.75,25791.75,26
2025-12-24T10:12:00.000Z,25792.25,25793.5,25791.75,25791.75,22
2025-12-24T10:14:00.000Z,25791.75,25792.75,25790.25,25791.75,42
2025-12-24T10:16:00.000Z,25791.25,25794.75,25791,25793.75,34
2025-12-24T10:18:00.000Z,25793.5,25796.25,25793.25,25795.75,33
2025-12-24T10:20:00.000Z,25795.5,25799,25795.5,25798,46
2025-12-24T10:22:00.000Z,25797,25797.75,25793.75,25794.25,56
2025-12-24T10:24:00.000Z,25794,25795.25,25792,25792,24
2025-12-24T10:26:00.000Z,25792.25,25793.75,25791,25793.75,31
2025-12-24T10:28:00.000Z,25793.25,25793.5,25792,25793.5,15
2025-12-24T10:30:00.000Z,25793.25,25794.5,25792.5,25792.5,40
2025-12-24T10:32:00.000Z,25793,25796.25,25793,25795,30
2025-12-24T10:34:00.000Z,25795.75,25796.5,25793.25,25793.25,43
