Date,Open,High,Low,Close,Volume
2025-09-22T13:30:00.000Z,230.56,230.565,227.91,229.62,5517478
2025-09-22T14:00:00.000Z,229.62,230.52,229.5,230.28,3133811
2025-09-22T14:30:00.000Z,230.3,230.33,229.68,230,1855653
2025-09-22T15:00:00.000Z,229.995,230.1,229.15,229.225,2248490
2025-09-22T15:30:00.000Z,229.22,229.37,228.77,228.95,2211686
2025-09-22T16:00:00.000Z,228.95,229.0751,228.51,228.53,2569174
2025-09-22T16:30:00.000Z,228.52,228.74,228.13,228.385,2727649
2025-09-22T17:00:00.000Z,228.39,229.08,228.31,228.605,2253492
2025-09-22T17:30:00.000Z,228.61,228.75,228.055,228.205,1738818
2025-09-22T18:00:00.000Z,228.2,228.47,227.93,228.13,2210446
2025-09-22T18:30:00.000Z,228.135,228.18,227.9,228.06,2254441
2025-09-22T19:00:00.000Z,228.06,228.09,227.85,227.935,2007667
2025-09-22T19:30:00.000Z,227.935,228.24,227.51,227.62,4976703
2025-09-23T13:30:00.000Z,227.83,227.86,221.23,221.49,14043939
2025-09-23T14:00:00.000Z,221.475,223.16,221.32,222.37,7942647
2025-09-23T14:30:00.000Z,222.375,223.44,222.3,223.42,3835687
2025-09-23T15:00:00.000Z,223.41,224.13,223.05,223.29,3618624
2025-09-23T15:30:00.000Z,223.31,223.33,222.25,222.325,3363373
2025-09-23T16:00:00.000Z,222.325,222.71,222.02,222.65,2365641
2025-09-23T16:30:00.000Z,222.65,222.83,222.53,222.5916,1832065
2025-09-23T17:00:00.000Z,222.59,222.59,221.81,221.85,2722058
2025-09-23T17:30:00.000Z,221.85,222.02,221.13,221.82,3148364
2025-09-23T18:00:00.000Z,221.8188,221.82,220.9001,221.02,4110891
2025-09-23T18:30:00.000Z,221.0228,221.24,220.7,220.92,3075195
2025-09-23T19:00:00.000Z,220.92,221.15,220.07,220.1765,4042729
2025-09-23T19:30:00.000Z,220.18,221.19,220.17,220.74,7489382
2025-09-24T13:30:00.000Z,224.15,224.56,221.35,221.7,7416832
2025-09-24T14:00:00.000Z,221.68,222.61,221.1301,221.14,3909844
2025-09-24T14:30:00.000Z,221.13,221.68,220.75,221.2,3860410
2025-09-24T15:00:00.000Z,221.205,221.83,220.3103,221.1399,2571653
2025-09-24T15:30:00.000Z,221.1,221.11,219.81,219.855,3695319
2025-09-24T16:00:00.000Z,219.86,220.905,219.54,220.89,2297709
2025-09-24T16:30:00.000Z,220.8849,221.05,220.1291,220.25,1906700
2025-09-24T17:00:00.000Z,220.255,221.05,220.09,220.92,1784007
2025-09-24T17:30:00.000Z,220.9102,221.2,220.3345,220.41,1860797
2025-09-24T18:00:00.000Z,220.4197,220.69,220.02,220.06,1274877
2025-09-24T18:30:00.000Z,220.06,220.4896,219.9,220.44,1594993
2025-09-24T19:00:00.000Z,220.43,220.44,219.77,219.775,2167542
2025-09-24T19:30:00.000Z,219.775,220.35,219.45,220.21,5120349
2025-09-25T13:30:00.000Z,220.06,220.58,218.2,218.7373,6424812
2025-09-25T14:00:00.000Z,218.72,220.6332,218.54,219.7599,4066604
2025-09-25T14:30:00.000Z,219.75,220.09,219.56,219.7884,3341824
2025-09-25T15:00:00.000Z,219.79,220.44,219.0501,219.83,3266993
2025-09-25T15:30:00.000Z,219.81,220.52,219.716,220.26,2139674
2025-09-25T16:00:00.000Z,220.26,220.67,219.723,219.81,1924139
2025-09-25T16:30:00.000Z,219.82,219.9,219.06,219.09,2066861
2025-09-25T17:00:00.000Z,219.09,219.205,218.5,218.87,1968850
2025-09-25T17:30:00.000Z,218.86,218.93,217.91,218.03,2104377
2025-09-25T18:00:00.000Z,218.035,218.14,216.47,217.03,4156740
2025-09-25T18:30:00.000Z,217.02,217.65,216.88,217.26,3930068
2025-09-25T19:00:00.000Z,217.24,217.54,216.92,217.47,2635321
2025-09-25T19:30:00.000Z,217.47,218.43,217.19,218.13,4894582
2025-09-26T13:30:00.000Z,219.08,220.96,218.02,220.82,7519551
2025-09-26T14:00:00.000Z,220.82,221.05,218.21,218.915,3330886
2025-09-26T14:30:00.000Z,218.93,219.58,218.5,219.13,2423177
