Date,Open,High,Low,Close,Volume
2025-09-22T13:30:00.000Z,947.375,949.9999,943.32,944.5,254897
2025-09-22T14:00:00.000Z,944.6402,946.47,943.49,944.44,185631
2025-09-22T14:30:00.000Z,944.82,945.3199,943.02,943.29,149214
2025-09-22T15:00:00.000Z,943.44,945.02,941.805,942.805,151399
2025-09-22T15:30:00.000Z,942.78,944.31,941.1,941.56,126225
2025-09-22T16:00:00.000Z,942,942.2999,939.61,940.98,154414
2025-09-22T16:30:00.000Z,940.92,941.35,940.01,941.015,89989
2025-09-22T17:00:00.000Z,941.24,941.95,940.5,941.8365,115258
2025-09-22T17:30:00.000Z,941.95,942.25,940.81,941.065,93766
2025-09-22T18:00:00.000Z,941.1955,942.9016,940.72,942.645,111411
2025-09-22T18:30:00.000Z,942.98,943.7999,941.27,941.555,89651
2025-09-22T19:00:00.000Z,941.5833,943.62,941.5833,942.565,99744
2025-09-22T19:30:00.000Z,942.66,943.81,941.63,943.12,307080
2025-09-23T13:30:00.000Z,942.76,942.76,935.85,937.6187,312490
2025-09-23T14:00:00.000Z,937,938.59,933.8954,935.69,236511
2025-09-23T14:30:00.000Z,935.69,938.075,934.915,936.495,136596
2025-09-23T15:00:00.000Z,936.48,938.28,935.61,936.33,91772
2025-09-23T15:30:00.000Z,935.88,936.12,933.63,934.17,123273
2025-09-23T16:00:00.000Z,934.03,938.08,933.5,937.685,104419
2025-09-23T16:30:00.000Z,937.455,939.3,937.27,938.5,90804
2025-09-23T17:00:00.000Z,938.405,941.58,938.375,940.3225,101837
2025-09-23T17:30:00.000Z,940,944.75,939.5,942.8,117670
2025-09-23T18:00:00.000Z,942.68,944.81,941.8301,944.3661,78390
2025-09-23T18:30:00.000Z,944.02,944.84,942.49,943.335,89956
2025-09-23T19:00:00.000Z,943.335,944.99,942.9254,943.53,110271
2025-09-23T19:30:00.000Z,943.74,944.82,942.79,943.95,326220
2025-09-24T13:30:00.000Z,944.275,953.55,944,950.4,333049
2025-09-24T14:00:00.000Z,949.53,953.6599,949.53,951.33,182727
2025-09-24T14:30:00.000Z,951.44,952.86,950.26,951.39,90813
2025-09-24T15:00:00.000Z,951.57,951.57,948.28,948.28,139656
2025-09-24T15:30:00.000Z,948.02,949.4999,946.02,948.28,92152
2025-09-24T16:00:00.000Z,948.1,950.5,946.435,946.695,91202
2025-09-24T16:30:00.000Z,946.49,947.1853,944.705,945.335,81193
2025-09-24T17:00:00.000Z,945.335,948.1509,944.085,947.52,60985
2025-09-24T17:30:00.000Z,947.985,947.985,944.275,944.83,74520
2025-09-24T18:00:00.000Z,944.43,945.13,943.11,943.13,81489
2025-09-24T18:30:00.000Z,943.3918,944.9999,943.29,944.59,79528
2025-09-24T19:00:00.000Z,944.535,945.96,943.33,945.92,110440
2025-09-24T19:30:00.000Z,946.075,946.53,943.4301,945.03,243828
2025-09-25T13:30:00.000Z,952.45,953,943.74,943.96,268592
2025-09-25T14:00:00.000Z,943.625,946.29,941.65,942.03,174009
2025-09-25T14:30:00.000Z,941.8033,942.14,938,939.565,189032
2025-09-25T15:00:00.000Z,939.565,941.4999,936.4,936.71,183435
2025-09-25T15:30:00.000Z,936.6,938,935.6201,935.9499,136891
2025-09-25T16:00:00.000Z,935.9521,938.6899,935.9521,937.534,90631
2025-09-25T16:30:00.000Z,937.59,939.8499,937.59,938.86,82847
2025-09-25T17:00:00.000Z,938.9807,941.0742,938.83,939.83,116185
2025-09-25T17:30:00.000Z,939.58,940.49,938.48,938.64,132046
2025-09-25T18:00:00.000Z,938.49,940.5,938.39,940.19,107207
2025-09-25T18:30:00.000Z,940.19,940.3499,939.08,940.2131,100564
2025-09-25T19:00:00.000Z,940.2082,941.6099,939.23,941.44,157808
2025-09-25T19:30:00.000Z,941.44,943.7899,940.875,942.85,410285
2025-09-26T13:30:00.000Z,925.55,926.6299,905.0501,916.315,1115388
2025-09-26T14:00:00.000Z,916,921,914.2701,918.17,416139
2025-09-26T14:30:00.000Z,918.9499,924.7,917.37,924.31,300848
2025-09-26T15:00:00.000Z,924,927.63,919.29,926.915,244263
2025-09-26T15:30:00.000Z,926.7,927.2059,922.12,924.42,173140
2025-09-26T16:00:00.000Z,924.31,926.64,923.5001,926,156409
2025-09-26T16:30:00.000Z,926.12,926.85,918.88,918.88,195741
2025-09-26T17:00:00.000Z,919,920.3999,917.86,919.4,186341
2025-09-26T17:30:00.000Z,919.4,919.7,917.18,917.55,146023
2025-09-26T18:00:00.000Z,917.53,919.29,916.32,916.5,160140
2025-09-26T18:30:00.000Z,916.4778,919.2,916.4201,918.62,154092
2025-09-26T19:00:00.000Z,918.765,920.5793,917.5001,919.575,176975
2025-09-26T19:30:00.000Z,919.55,920.18,915.39,915.66,622175
2025-09-29T13:30:00.000Z,916.34,917,908.89,912.93,475237
2025-09-29T14:00:00.000Z,913.09,913.86,910.14,910.48,218615
2025-09-29T14:30:00.000Z,910.1,910.99,907.55,909.74,264998
2025-09-29T15:00:00.000Z,909.74,910.23,907.7113,908,169558
2025-09-29T15:30:00.000Z,907.8,908.31,906.6801,908.04,243942
2025-09-29T16:00:00.000Z,907.825,909.205,904.45,904.931,238150
2025-09-29T16:30:00.000Z,904.95,906.0999,903.29,906.0999,184953
2025-09-29T17:00:00.000Z,905.79,908.3,905.1001,906.305,167856
2025-09-29T17:30:00.000Z,906.25,909.24,905.8501,908.35,117725
2025-09-29T18:00:00.000Z,908.53,911.1686,908.2901,909.545,151586
2025-09-29T18:30:00.000Z,909.76,912.665,909.45,912.52,126729
2025-09-29T19:00:00.000Z,912.36,914.85,912.215,914.11,264987
2025-09-29T19:30:00.000Z,914.13,917.22,913.43,916.89,474287
2025-09-30T13:30:00.000Z,916.25,920.56,913.37,915.71,268541
2025-09-30T14:00:00.000Z,915.71,918.69,915.06,918.405,153476
2025-09-30T14:30:00.000Z,918.45,921,916.01,918.44,157189
2025-09-30T15:00:00.000Z,918.39,923.88,918.39,923.44,194512
2025-09-30T15:30:00.000Z,923.32,924.28,921.63,924.24,120032
2025-09-30T16:00:00.000Z,924.25,926.47,922.41,923.46,122738
2025-09-30T16:30:00.000Z,923.5,926.5,923.155,925.48,343549
2025-09-30T17:00:00.000Z,925.63,927.3147,924.8101,925.2,102804
2025-09-30T17:30:00.000Z,925.18,927.6,925.0271,926.2001,79339
2025-09-30T18:00:00.000Z,926.2063,928.5499,926.0201,927.2815,91799
2025-09-30T18:30:00.000Z,926.865,930.4261,926.865,929.15,101957
2025-09-30T19:00:00.000Z,929.15,930.505,929.15,929.72,137946
2025-09-30T19:30:00.000Z,929.72,930.2,924.6501,925.52,499151
2025-10-01T13:30:00.000Z,923,924,912.0987,912.56,344280
2025-10-01T14:00:00.000Z,912.12,915.9499,911.66,912.74,176937
2025-10-01T14:30:00.000Z,913.25,916.35,911.88,915.01,191493
2025-10-01T15:00:00.000Z,914.905,918.47,914.64,915.5459,126830
2025-10-01T15:30:00.000Z,915.38,915.62,912.2,912.21,230623
2025-10-01T16:00:00.000Z,912.45,914,911.17,913.34,187115
2025-10-01T16:30:00.000Z,913.7224,914.05,912.2601,913.68,100594
2025-10-01T17:00:00.000Z,913.68,913.69,911.68,913.17,82439
2025-10-01T17:30:00.000Z,913.2,916,912.38,915.7964,109327
2025-10-01T18:00:00.000Z,915.92,917.03,915.0001,916.66,100090
2025-10-01T18:30:00.000Z,916.5692,917.77,916.47,917.09,90333
2025-10-01T19:00:00.000Z,917.4,918.87,917.28,918.21,107862
2025-10-01T19:30:00.000Z,918.08,918.65,916.31,917.13,353013
2025-10-02T13:30:00.000Z,912.56,916,910.88,912.36,244358
2025-10-02T14:00:00.000Z,912.08,912.95,910.01,911.3801,190294
2025-10-02T14:30:00.000Z,911.575,913.19,911.01,912.73,119239
2025-10-02T15:00:00.000Z,912.62,916.5,912.31,914.74,152954
2025-10-02T15:30:00.000Z,914.7,916,914.11,915.7706,90362
2025-10-02T16:00:00.000Z,915.64,917.17,914.6,914.925,76004
2025-10-02T16:30:00.000Z,915.12,915.42,914.1001,914.89,57016
2025-10-02T17:00:00.000Z,914.885,915.28,914.21,915.1999,58122
2025-10-02T17:30:00.000Z,915.2,915.9493,915.135,915.47,63380
2025-10-02T18:00:00.000Z,915.3318,916.75,915.14,916.3328,73859
2025-10-02T18:30:00.000Z,916.47,918.21,916.47,917.885,82730
2025-10-02T19:00:00.000Z,917.8751,918.25,916.01,916.1635,114939
2025-10-02T19:30:00.000Z,916.25,918.51,915.35,916.78,252796
2025-10-03T13:30:00.000Z,915.59,918.1,914,915.01,286374
2025-10-03T14:00:00.000Z,915.35,915.405,911.66,911.765,312417
2025-10-03T14:30:00.000Z,911.56,914.23,911.31,913.56,113144
2025-10-03T15:00:00.000Z,913.33,914.27,911.2,912.335,111836
2025-10-03T15:30:00.000Z,912.36,914.66,912.115,914.5,90448
2025-10-03T16:00:00.000Z,914.28,916.53,913.58,914.49,103511
2025-10-03T16:30:00.000Z,914.49,916.2,914.08,915.35,81873
2025-10-03T17:00:00.000Z,915.135,915.835,914.2501,914.425,93696
2025-10-03T17:30:00.000Z,914.425,918.101,914.19,917.15,121432
2025-10-03T18:00:00.000Z,916.785,917.27,915.27,915.62,119676
2025-10-03T18:30:00.000Z,915.865,916.37,915.41,915.65,62343
2025-10-03T19:00:00.000Z,915.65,916.13,914.9035,916.13,82011
2025-10-03T19:30:00.000Z,915.99,916.14,914.98,915.21,298860
2025-10-06T13:30:00.000Z,915.5,915.7799,904.251,908.5,381395
2025-10-06T14:00:00.000Z,909,911.67,908.0301,910.49,179308
2025-10-06T14:30:00.000Z,910.4,910.88,906.85,907.925,145661
2025-10-06T15:00:00.000Z,907.7298,909,904.92,905.855,190637
2025-10-06T15:30:00.000Z,905.8382,906.55,905.21,906.35,135397
2025-10-06T16:00:00.000Z,906.31,907.71,906.09,906.785,101248
2025-10-06T16:30:00.000Z,906.79,907.85,906.0301,907.13,93272
2025-10-06T17:00:00.000Z,907.23,907.46,906.6691,907.355,95332
2025-10-06T17:30:00.000Z,907.295,908.15,906.52,907.68,120111
2025-10-06T18:00:00.000Z,907.69,908.31,907.1602,907.38,98788
2025-10-06T18:30:00.000Z,907.435,907.8,906.69,907.4,127930
2025-10-06T19:00:00.000Z,907.395,907.65,907.1501,907.43,119589
2025-10-06T19:30:00.000Z,907.46,911.52,907.03,910.93,352296
2025-10-07T13:30:00.000Z,908.73,911,903.88,904.9928,305591
2025-10-07T14:00:00.000Z,904.94,908.7799,904.94,908.27,164129
2025-10-07T14:30:00.000Z,908.275,911.68,908.1375,911.38,139790
2025-10-07T15:00:00.000Z,911.1688,916.4707,911,913.91,186127
2025-10-07T15:30:00.000Z,914.335,916.85,914.335,915.23,221120
2025-10-07T16:00:00.000Z,915.01,917.64,912.88,916.952,108968
2025-10-07T16:30:00.000Z,917,917,913.46,914.405,90961
2025-10-07T17:00:00.000Z,914.405,914.5135,912.2801,912.5,98170
2025-10-07T17:30:00.000Z,912.785,913.46,912.0501,912.76,61439
2025-10-07T18:00:00.000Z,912.77,912.77,910.73,911.8,89115
2025-10-07T18:30:00.000Z,911.55,912.62,911.2,911.81,73530
2025-10-07T19:00:00.000Z,911.815,912.5065,911.17,912.265,75613
2025-10-07T19:30:00.000Z,912.265,915.1,912.265,914.76,248535
2025-10-08T13:30:00.000Z,912.535,914.8699,910.96,912.83,236707
2025-10-08T14:00:00.000Z,912.9,916.3795,912.49,913.66,192043
2025-10-08T14:30:00.000Z,913.5319,914.78,912.45,914.03,99245
2025-10-08T15:00:00.000Z,913.83,915.61,913.36,915.055,104674
2025-10-08T15:30:00.000Z,915.287,916.3,914.5599,915.52,91555
2025-10-08T16:00:00.000Z,915.458,915.458,913.67,914.2,69647
2025-10-08T16:30:00.000Z,914.32,914.4,911.7101,912.565,87713
2025-10-08T17:00:00.000Z,912.32,913.4,911.55,912.4482,53016
2025-10-08T17:30:00.000Z,912.41,913.88,911.94,913.435,70795
2025-10-08T18:00:00.000Z,913.16,914,912.9317,913.37,65304
2025-10-08T18:30:00.000Z,913.4276,913.47,912.135,912.7,64558
2025-10-08T19:00:00.000Z,912.84,913.55,912.53,912.915,63558
2025-10-08T19:30:00.000Z,913,914.97,912.5101,914.8,333642
2025-10-09T13:30:00.000Z,932.31,940.45,927.2801,933.63,747373
2025-10-09T14:00:00.000Z,933.7778,940.7099,932.775,939.515,317259
2025-10-09T14:30:00.000Z,939.51,943.7699,939.3113,941.8,308081
2025-10-09T15:00:00.000Z,941.53,942.77,938.0753,940.66,230757
2025-10-09T15:30:00.000Z,940.72,940.72,936.2,937.365,128933
2025-10-09T16:00:00.000Z,937.56,940.92,936.53,940.345,114616
2025-10-09T16:30:00.000Z,940.36,942.9437,940.05,942.4,129036
2025-10-09T17:00:00.000Z,942.3,942.78,938.9101,940.8,143646
2025-10-09T17:30:00.000Z,940.85,941.06,937.01,937.025,134355
2025-10-09T18:00:00.000Z,937.465,937.47,934.0037,936.04,145012
2025-10-09T18:30:00.000Z,936.23,936.87,934.74,936.87,120543
2025-10-09T19:00:00.000Z,936.82,940.14,935,938.65,207025
2025-10-09T19:30:00.000Z,938.94,943,938.44,942.89,473870
2025-10-10T13:30:00.000Z,944.42,945.45,936,938.995,308573
2025-10-10T14:00:00.000Z,939,940.098,934.74,938.78,176617
2025-10-10T14:30:00.000Z,939.23,940.63,936.25,937.805,159671
2025-10-10T15:00:00.000Z,937.645,943.25,936.03,939.96,290192
2025-10-10T15:30:00.000Z,939.87,942.72,932.31,934.79,236097
2025-10-10T16:00:00.000Z,934.51,935.5702,932.55,934,89534
2025-10-10T16:30:00.000Z,934.005,935.9699,933.57,935.58,91893
2025-10-10T17:00:00.000Z,935,936.71,934.2191,935.88,115161
2025-10-10T17:30:00.000Z,935.79,936.66,932.55,935.41,93030
2025-10-10T18:00:00.000Z,935.65,937.62,934.95,935.91,127530
2025-10-10T18:30:00.000Z,935.77,935.77,932.7235,933.375,69640
2025-10-10T19:00:00.000Z,933.32,935.0299,932.6501,933.655,138944
2025-10-10T19:30:00.000Z,933.7,935.79,929,929.93,590990
2025-10-13T13:30:00.000Z,929,931.77,925.25,926.934,256401
2025-10-13T14:00:00.000Z,927.04,930,923,927.77,166215
2025-10-13T14:30:00.000Z,927.8,930.59,927.13,930.075,90454
2025-10-13T15:00:00.000Z,930.4,932,928.7361,931.1,113105
2025-10-13T15:30:00.000Z,931.8,933.29,930.6,930.6,100957
2025-10-13T16:00:00.000Z,930.55,930.9,929.21,929.645,71103
2025-10-13T16:30:00.000Z,929.1,930.0847,927.95,928.85,75666
2025-10-13T17:00:00.000Z,928.84,932.79,927.81,932.6888,80818
2025-10-13T17:30:00.000Z,932.593,933.485,930.51,931.48,61830
2025-10-13T18:00:00.000Z,931.39,933.77,931.39,933.54,68158
2025-10-13T18:30:00.000Z,933.93,934.49,933.0001,934.33,284555
2025-10-13T19:00:00.000Z,934.5,935.39,932.45,935.17,75470
2025-10-13T19:30:00.000Z,935.1,935.98,933.09,935.49,335515
2025-10-14T13:30:00.000Z,940.26,942.205,935.9501,937.71,195662
2025-10-14T14:00:00.000Z,937.7,943.75,937.2325,939.0001,180387
2025-10-14T14:30:00.000Z,940.87,944.02,939.51,942.62,108362
2025-10-14T15:00:00.000Z,941.7901,943.125,938.18,938.53,75530
2025-10-14T15:30:00.000Z,938.87,939.1,937.4601,938.515,50668
2025-10-14T16:00:00.000Z,938.61,942.65,937.991,942.415,60477
2025-10-14T16:30:00.000Z,942.141,944.13,941.17,943.6125,69671
2025-10-14T17:00:00.000Z,943.5,944.0046,942.07,942.105,71163
2025-10-14T17:30:00.000Z,942.47,943.63,941.855,942.275,46295
2025-10-14T18:00:00.000Z,942.65,944.91,942.49,944.638,84775
2025-10-14T18:30:00.000Z,944.61,945.45,944.35,944.9255,102420
2025-10-14T19:00:00.000Z,945.44,947.42,944.1801,945.1,146636
2025-10-14T19:30:00.000Z,945.05,947.07,943.64,946.51,283382
2025-10-15T13:30:00.000Z,946,962.495,945.2601,960.57,312632
2025-10-15T14:00:00.000Z,960.67,962.13,959.38,960.5,167966
2025-10-15T14:30:00.000Z,960.59,964,960.5,961.44,168873
2025-10-15T15:00:00.000Z,961.85,963.7603,961.39,961.39,83682
2025-10-15T15:30:00.000Z,961.5878,962,957.19,957.54,97770
2025-10-15T16:00:00.000Z,957.75,959.1999,956,958.575,92771
2025-10-15T16:30:00.000Z,958.6125,960.09,958.33,958.4269,81865
2025-10-15T17:00:00.000Z,958.28,959.58,953.981,955.36,100680
2025-10-15T17:30:00.000Z,954.98,958.6157,954.97,958.52,70719
2025-10-15T18:00:00.000Z,958.4,960.4899,957.81,958.17,91090
2025-10-15T18:30:00.000Z,957.91,958.4,956.11,956.21,51602
2025-10-15T19:00:00.000Z,956.04,956.2,954.2301,954.62,73119
2025-10-15T19:30:00.000Z,954.48,955.34,953.28,955.26,214497
2025-10-16T13:30:00.000Z,955.54,957.9,944,946.95,199800
2025-10-16T14:00:00.000Z,946.54,946.71,939.28,940.5,197309
2025-10-16T14:30:00.000Z,940.5,942.99,938.5,940.7525,177541
2025-10-16T15:00:00.000Z,941.415,941.96,938,938.975,134178
2025-10-16T15:30:00.000Z,938.08,938.19,929.14,930.255,204478
2025-10-16T16:00:00.000Z,930.58,932.86,928.45,928.73,142615
2025-10-16T16:30:00.000Z,928.42,930.005,925.25,929.853,122727
2025-10-16T17:00:00.000Z,929.85,930.15,926.27,926.795,108798
2025-10-16T17:30:00.000Z,926.8,928.3625,924.7,924.7,128632
2025-10-16T18:00:00.000Z,924.51,924.885,921.16,923.38,111027
2025-10-16T18:30:00.000Z,923.435,924.79,921.4,924.61,124553
2025-10-16T19:00:00.000Z,924.5,924.685,922.77,923.84,117450
2025-10-16T19:30:00.000Z,923.73,926.3,922.67,925.56,399857
2025-10-17T13:30:00.000Z,929.58,934.8347,928.59,932.4901,274456
2025-10-17T14:00:00.000Z,932.49,937.8,930.6301,936.11,205243
2025-10-17T14:30:00.000Z,936.1,937.36,934.8125,936.21,73538
2025-10-17T15:00:00.000Z,936.47,938.8194,934.78,935.685,99652
2025-10-17T15:30:00.000Z,935.38,937.82,934.88,937.445,153378
2025-10-17T16:00:00.000Z,937.48,938.4999,936.7601,937.64,78981
2025-10-17T16:30:00.000Z,937.9,938.16,934.35,934.67,113458
2025-10-17T17:00:00.000Z,934.33,934.5599,929.395,930.05,180127
2025-10-17T17:30:00.000Z,929.89,931.3192,928.15,930.41,72941
2025-10-17T18:00:00.000Z,930.515,935.94,930.33,935.534,76977
2025-10-17T18:30:00.000Z,935.69,936.5,935.4,935.52,86173
2025-10-17T19:00:00.000Z,935.63,936.35,933.7601,934.1,68712
2025-10-17T19:30:00.000Z,934.395,937.02,932.5001,936.11,299580
2025-10-20T13:30:00.000Z,936.185,939.8,935.42,936.82,128577
2025-10-20T14:00:00.000Z,936.88,936.985,933.715,936.28,114081
2025-10-20T14:30:00.000Z,936.51,938.25,935.54,935.54,57773
2025-10-20T15:00:00.000Z,935.915,936.06,931.775,933.498,71185
2025-10-20T15:30:00.000Z,933.68,935.3,933.5001,934.555,56341
2025-10-20T16:00:00.000Z,934.21,934.69,932.77,932.77,63473
2025-10-20T16:30:00.000Z,932.795,935.51,932.345,935.045,57297
2025-10-20T17:00:00.000Z,935.07,935.31,933.28,933.3,38287
2025-10-20T17:30:00.000Z,933.685,933.8467,932.71,933.5905,44762
2025-10-20T18:00:00.000Z,933.81,934.7217,933.5,934.7217,35684
2025-10-20T18:30:00.000Z,934.7735,935.21,933.29,933.7708,43785
2025-10-20T19:00:00.000Z,933.6,934.32,932.82,934.32,63234
2025-10-20T19:30:00.000Z,934.0604,936.49,931.5,936.11,252677
2025-10-21T13:30:00.000Z,936.11,942.63,935,942.37,155457
2025-10-21T14:00:00.000Z,942.3,943.37,940.03,942.7238,86439
2025-10-21T14:30:00.000Z,942.6224,943.01,940.7,941.02,53492
2025-10-21T15:00:00.000Z,940.965,942.5,939,940.12,56827
2025-10-21T15:30:00.000Z,940.3869,941,939.28,939.28,32128
2025-10-21T16:00:00.000Z,939.465,940.415,937.56,937.56,46420
2025-10-21T16:30:00.000Z,937.61,939.275,937.03,938.41,53696
2025-10-21T17:00:00.000Z,938.16,938.38,935.2901,936.36,45402
2025-10-21T17:30:00.000Z,936.4,936.97,935.43,936.9395,38356
2025-10-21T18:00:00.000Z,936.915,938.1,936.14,937.83,45316
2025-10-21T18:30:00.000Z,937.94,938.4,936.91,937.805,38778
2025-10-21T19:00:00.000Z,937.668,938.66,937.43,938.06,41165
2025-10-21T19:30:00.000Z,938.065,938.35,936.78,937.14,158206
2025-10-22T13:30:00.000Z,940,940.22,932.5,935.795,93668
2025-10-22T14:00:00.000Z,935.54,944.99,935.22,944.63,127188
2025-10-22T14:30:00.000Z,944.928,948.3087,943.64,946.8499,141079
2025-10-22T15:00:00.000Z,946.4,952.9999,946.4,949.49,181926
2025-10-22T15:30:00.000Z,949.86,952.67,949.29,951.91,122126
2025-10-22T16:00:00.000Z,951.9,951.969,947.4301,949,69756
2025-10-22T16:30:00.000Z,949.39,950.3899,945.6571,948.78,86054
2025-10-22T17:00:00.000Z,948.55,949.54,947.54,948.14,57195
2025-10-22T17:30:00.000Z,948.445,950,947.72,949.33,59262
2025-10-22T18:00:00.000Z,949.95,950.0985,947.3,947.52,49634
2025-10-22T18:30:00.000Z,947.66,947.66,944.42,945.01,59347
2025-10-22T19:00:00.000Z,944.92,946.985,944.13,946.25,68697
2025-10-22T19:30:00.000Z,946.25,946.755,943.53,944.5,156703
2025-10-23T13:30:00.000Z,945.47,945.47,938.11,939.2699,136361
2025-10-23T14:00:00.000Z,938.685,941.97,937.3101,939.46,85129
2025-10-23T14:30:00.000Z,939.525,939.5368,937.58,938.8,67100
2025-10-23T15:00:00.000Z,938.83,939.94,937,939.93,50667
2025-10-23T15:30:00.000Z,939.35,939.74,935.53,935.9,68017
2025-10-23T16:00:00.000Z,935.9898,937,934.49,936.905,49679
2025-10-23T16:30:00.000Z,936.82,938.26,935.98,937.645,42638
2025-10-23T17:00:00.000Z,937.675,939.4699,937.595,938.73,44185
