Date,Open,High,Low,Close,Volume
2024-02-04T23:00:00.000Z,4976,4980.75,4973,4976.75,9566
2024-02-05T00:00:00.000Z,4976.5,4980,4965,4968.25,20349
2024-02-05T01:00:00.000Z,4968.5,4970.25,4964.25,4970,9567
2024-02-05T02:00:00.000Z,4969.75,4970.25,4965.5,4967.25,6304
2024-02-05T03:00:00.000Z,4967.25,4969,4964.5,4966.25,6161
2024-02-05T04:00:00.000Z,4966.25,4967.75,4965.75,4967.5,3496
2024-02-05T05:00:00.000Z,4967.5,4970.25,4967,4969.25,5499
2024-02-05T06:00:00.000Z,4969.25,4971.75,4969,4970.5,5027
2024-02-05T07:00:00.000Z,4970.5,4973,4968.5,4969,7012
2024-02-05T08:00:00.000Z,4969,4974,4967.5,4972,12144
2024-02-05T09:00:00.000Z,4972,4973.25,4963.75,4965.75,14426
2024-02-05T10:00:00.000Z,4966,4974,4966,4972,11872
2024-02-05T11:00:00.000Z,4972.25,4973,4970,4970.5,12063
2024-02-05T12:00:00.000Z,4970.5,4975.5,4968.5,4974,18909
2024-02-05T13:00:00.000Z,4974,4975,4963.25,4965,34954
2024-02-05T14:00:00.000Z,4965,4973,4963.75,4970.25,155109
2024-02-05T15:00:00.000Z,4969.5,4969.5,4937.75,4943.75,287582
2024-02-05T16:00:00.000Z,4943.75,4957.25,4942.5,4956.75,146632
2024-02-05T17:00:00.000Z,4957,4970,4955.75,4966,121047
2024-02-05T18:00:00.000Z,4966.25,4971.25,4961.5,4967,103507
2024-02-05T19:00:00.000Z,4967,4977.5,4964.25,4975.5,107223
2024-02-05T20:00:00.000Z,4975.75,4976,4960.5,4961,244905
2024-02-05T21:00:00.000Z,4961,4962,4955.5,4960.25,65497
2024-02-05T23:00:00.000Z,4959.5,4962,4957.25,4958,0
2024-02-06T00:00:00.000Z,4957.75,4961.5,4957.5,4961,3345
2024-02-06T01:00:00.000Z,4960.75,4964,4960.5,4963.5,6906
2024-02-06T02:00:00.000Z,4963,4965.75,4962.5,4964,4799
2024-02-06T03:00:00.000Z,4964.25,4967.25,4964,4965,5028
2024-02-06T04:00:00.000Z,4964.75,4967.25,4964.25,4966.25,2792
2024-02-06T05:00:00.000Z,4966.75,4968,4965.25,4965.5,4771
2024-02-06T06:00:00.000Z,4965.25,4965.75,4964,4965.25,3550
2024-02-06T07:00:00.000Z,4965.25,4971.5,4965,4969.25,9807
2024-02-06T08:00:00.000Z,4969.5,4971,4964.75,4965,13036
2024-02-06T09:00:00.000Z,4965,4968.25,4962.5,4963.25,11789
2024-02-06T10:00:00.000Z,4963.5,4963.5,4959.25,4962,11456
2024-02-06T11:00:00.000Z,4962,4963,4955,4958.75,17934
2024-02-06T12:00:00.000Z,4958.5,4961,4954.5,4960.5,19921
2024-02-06T13:00:00.000Z,4960.5,4969.75,4959.75,4968.5,27242
2024-02-06T14:00:00.000Z,4968.5,4978.25,4964.5,4964.75,181163
2024-02-06T15:00:00.000Z,4964.75,4966.75,4955,4963,221028
2024-02-06T16:00:00.000Z,4963,4969.25,4957.25,4958.25,132186
2024-02-06T17:00:00.000Z,4958.5,4964.5,4955.75,4960.5,115923
2024-02-06T18:00:00.000Z,4960.75,4970.5,4959.25,4970.25,97082
2024-02-06T19:00:00.000Z,4970.25,4970.75,4955.75,4966.25,121409
2024-02-06T20:00:00.000Z,4966.5,4975.75,4961.25,4974.75,159576
2024-02-06T21:00:00.000Z,4975,4976.25,4968.75,4972.25,44207
2024-02-06T23:00:00.000Z,4971.5,4975.25,4971.25,4973.25,0
2024-02-07T00:00:00.000Z,4973.25,4974.5,4971.75,4973.5,4231
2024-02-07T01:00:00.000Z,4973.75,4983.5,4973.75,4978.5,12440
2024-02-07T02:00:00.000Z,4978.25,4979.75,4977.75,4979.75,3921
2024-02-07T03:00:00.000Z,4979.75,4980.5,4975.5,4975.5,5020
2024-02-07T04:00:00.000Z,4975.5,4975.75,4974,4975.25,3338
2024-02-07T05:00:00.000Z,4975.25,4975.75,4973.25,4975,3725
2024-02-07T06:00:00.000Z,4975.25,4975.25,4971,4974.5,5067
2024-02-07T07:00:00.000Z,4974.25,4975.25,4971,4972,5857
2024-02-07T08:00:00.000Z,4972,4974.5,4971.25,4974.25,8086
2024-02-07T09:00:00.000Z,4974.25,4976.5,4972.5,4975.75,8148
2024-02-07T10:00:00.000Z,4975.5,4976,4970,4971.25,8338
2024-02-07T11:00:00.000Z,4971.25,4975.75,4971.25,4974.5,10782
2024-02-07T12:00:00.000Z,4974.5,4983.75,4970.75,4983.25,22232
2024-02-07T13:00:00.000Z,4983,4991.75,4982.25,4989.75,39160
2024-02-07T14:00:00.000Z,4989.75,4999.25,4988,4993.25,189185
2024-02-07T15:00:00.000Z,4993.25,5015.25,4989.5,5007.25,258167
2024-02-07T16:00:00.000Z,5007.25,5013.25,5003,5010.5,135263
2024-02-07T17:00:00.000Z,5010.5,5013.25,5002.5,5010.25,99076
2024-02-07T18:00:00.000Z,5010.25,5019.25,5005.25,5015.5,132497
2024-02-07T19:00:00.000Z,5015.25,5018.25,5012.5,5018,81772
2024-02-07T20:00:00.000Z,5018,5020,5010.75,5015.5,173799
2024-02-07T21:00:00.000Z,5015.5,5016.25,5012.5,5015.5,56628
2024-02-07T23:00:00.000Z,5015.75,5016.25,5011.5,5013.75,0
2024-02-08T00:00:00.000Z,5013.5,5014,5011.75,5012.25,3388
2024-02-08T01:00:00.000Z,5012.25,5014.75,5011.25,5014.5,4462
2024-02-08T02:00:00.000Z,5014.5,5015.75,5012.25,5013,3293
2024-02-08T03:00:00.000Z,5013,5013.75,5012.5,5013,1748
2024-02-08T04:00:00.000Z,5012.75,5014.25,5012.75,5013.75,1681
2024-02-08T05:00:00.000Z,5013.75,5015,5012.5,5013.5,2603
2024-02-08T06:00:00.000Z,5013.5,5015.75,5012.25,5015.25,4476
2024-02-08T07:00:00.000Z,5015.25,5016.25,5012.75,5014,6362
2024-02-08T08:00:00.000Z,5014.25,5015.75,5010,5011.75,14100
2024-02-08T09:00:00.000Z,5011.75,5013.5,5010.5,5012,10672
2024-02-08T10:00:00.000Z,5012.25,5012.75,5009,5010.25,7819
2024-02-08T11:00:00.000Z,5010.5,5010.75,5003.75,5007,12832
2024-02-08T12:00:00.000Z,5007.25,5009.25,5005.5,5006.5,15006
2024-02-08T13:00:00.000Z,5006.5,5012.5,5004.25,5011,35323
2024-02-08T14:00:00.000Z,5010.75,5016,5008.75,5012.25,109138
2024-02-08T15:00:00.000Z,5012.25,5014.75,5005.5,5014.25,151604
2024-02-08T16:00:00.000Z,5014.25,5014.5,5005,5010.5,108122
2024-02-08T17:00:00.000Z,5010.5,5013.75,5006.25,5008.25,72809
2024-02-08T18:00:00.000Z,5008.25,5015.75,5007.5,5013.5,89561
2024-02-08T19:00:00.000Z,5013.75,5015.5,5008,5014.75,78997
2024-02-08T20:00:00.000Z,5014.75,5020,5011,5017,166397
2024-02-08T21:00:00.000Z,5017,5017,5013.75,5014.5,50627
2024-02-08T23:00:00.000Z,5014.5,5015.75,5013,5015.25,0
2024-02-09T00:00:00.000Z,5015.25,5017.25,5013,5013.25,4395
2024-02-09T01:00:00.000Z,5013.25,5015,5013,5013.75,3851
2024-02-09T02:00:00.000Z,5013.5,5015,5013,5014.25,2569
2024-02-09T03:00:00.000Z,5014.5,5016.5,5014.25,5016.5,2961
2024-02-09T04:00:00.000Z,5016.5,5016.75,5014.75,5015,1410
2024-02-09T05:00:00.000Z,5014.75,5016,5013.5,5013.75,1541
2024-02-09T06:00:00.000Z,5013.75,5014.75,5013.5,5014,2933
2024-02-09T07:00:00.000Z,5014.25,5017.75,5014,5017.5,5930
2024-02-09T08:00:00.000Z,5017.5,5023.25,5017.25,5022,15005
2024-02-09T09:00:00.000Z,5022,5022.25,5017.25,5020.25,9050
2024-02-09T10:00:00.000Z,5020.25,5024,5019.75,5022.75,8765
2024-02-09T11:00:00.000Z,5022.75,5024.75,5020.5,5023.75,8832
2024-02-09T12:00:00.000Z,5023.5,5027.25,5023.5,5025.25,14131
2024-02-09T13:00:00.000Z,5025.25,5043,5023.25,5030.5,83023
2024-02-09T14:00:00.000Z,5030.5,5030.75,5016.25,5026.75,169667
2024-02-09T15:00:00.000Z,5026.5,5032,5023,5029.75,150146
2024-02-09T16:00:00.000Z,5031.25,5034,5024.75,5027.5,112843
2024-02-09T17:00:00.000Z,5027.5,5036.75,5025.25,5036.5,92069
2024-02-09T18:00:00.000Z,5036.25,5041.25,5034.75,5039,88736
2024-02-09T19:00:00.000Z,5039,5048.5,5038.25,5044.75,90681
2024-02-09T20:00:00.000Z,5045,5045.75,5039,5044,192482
2024-02-09T21:00:00.000Z,5044,5044.75,5041.5,5042,81911
2024-02-11T23:00:00.000Z,5042.5,5043.75,5038.75,5042.5,7226
2024-02-12T00:00:00.000Z,5042.25,5044.5,5041.5,5043.75,3490
2024-02-12T01:00:00.000Z,5043.5,5044.75,5043,5043.5,2312
2024-02-12T02:00:00.000Z,5043.5,5043.75,5042.25,5042.75,2317
2024-02-12T03:00:00.000Z,5043,5043.5,5042.25,5042.5,1569
2024-02-12T04:00:00.000Z,5042.75,5044.25,5041,5041.5,3076
2024-02-12T05:00:00.000Z,5041.5,5042,5040.75,5041,1680
2024-02-12T06:00:00.000Z,5041.25,5042.25,5040.5,5041.25,2729
2024-02-12T07:00:00.000Z,5041.25,5045,5041,5042.5,6463
2024-02-12T08:00:00.000Z,5042.5,5044.5,5041,5041,8857
2024-02-12T09:00:00.000Z,5041.25,5044.75,5040.75,5043.5,8787
