Date,Open,High,Low,Close,Volume
2025-09-22T13:30:00.000Z,476.98,478.53,476,476.885,118711
2025-09-22T14:00:00.000Z,476.68,477.35,476.15,476.79,145005
2025-09-22T14:30:00.000Z,476.8,477.19,474.29,474.89,121705
2025-09-22T15:00:00.000Z,475.01,476.9499,474.9,476.08,91975
2025-09-22T15:30:00.000Z,476.24,476.26,474.8,475.16,88779
2025-09-22T16:00:00.000Z,475.1,475.94,474.97,475.61,66287
2025-09-22T16:30:00.000Z,475.46,476.6,475.16,476.57,58134
2025-09-22T17:00:00.000Z,476.56,477.51,476.5,477.37,48461
2025-09-22T17:30:00.000Z,477.28,477.8738,476.83,477.035,42061
2025-09-22T18:00:00.000Z,477.035,477.675,476.97,477.635,53217
2025-09-22T18:30:00.000Z,477.665,478.24,477.4501,478.24,47759
2025-09-22T19:00:00.000Z,478.335,478.57,477.75,478.495,42864
2025-09-22T19:30:00.000Z,478.35,478.68,477.33,477.75,185440
2025-09-23T13:30:00.000Z,478.42,482.1,477.68,481.695,100200
2025-09-23T14:00:00.000Z,481.69,482.97,481.055,482.02,85317
2025-09-23T14:30:00.000Z,481.945,482.75,481.355,482.64,76267
2025-09-23T15:00:00.000Z,482.5,482.58,480.18,480.625,99476
2025-09-23T15:30:00.000Z,480.88,480.935,477.98,478.11,63455
2025-09-23T16:00:00.000Z,477.855,478.11,475.92,476.06,113240
2025-09-23T16:30:00.000Z,475.69,476.645,474.65,476.3,69037
2025-09-23T17:00:00.000Z,476.55,477.7319,476.0895,477.455,38399
2025-09-23T17:30:00.000Z,477.455,479.385,477.12,478.97,47847
2025-09-23T18:00:00.000Z,478.945,480.06,478.43,480.045,52845
2025-09-23T18:30:00.000Z,480.01,480.31,479.25,479.66,51056
2025-09-23T19:00:00.000Z,479.67,480,479.01,479.79,72502
2025-09-23T19:30:00.000Z,479.84,480.6324,479.59,479.97,200016
2025-09-24T13:30:00.000Z,479.6,481.735,478.795,480.155,113863
2025-09-24T14:00:00.000Z,480.155,481.58,478.61,478.92,91340
2025-09-24T14:30:00.000Z,479.02,479.26,478.1,478.31,86110
2025-09-24T15:00:00.000Z,478.31,478.98,477.3641,478.385,60821
2025-09-24T15:30:00.000Z,478.385,478.56,476,476.31,75628
2025-09-24T16:00:00.000Z,476.09,477.09,475.41,475.41,60983
2025-09-24T16:30:00.000Z,475.53,475.86,474.98,475.3275,53765
2025-09-24T17:00:00.000Z,475.3325,476.38,475.11,475.28,66596
2025-09-24T17:30:00.000Z,475.265,475.305,473.77,473.93,64796
2025-09-24T18:00:00.000Z,473.81,475.638,473.81,474.77,52966
2025-09-24T18:30:00.000Z,474.81,475.08,474.125,474.34,39644
2025-09-24T19:00:00.000Z,474.13,474.31,473.52,474.11,74454
2025-09-24T19:30:00.000Z,474.04,475.225,473.32,474.07,259344
2025-09-25T13:30:00.000Z,474.13,476.35,472.81,474.06,141953
2025-09-25T14:00:00.000Z,473.81,474,471.675,473.94,96714
2025-09-25T14:30:00.000Z,473.9376,474.99,473.36,473.48,80054
2025-09-25T15:00:00.000Z,473.345,474.14,472.79,472.9,65725
2025-09-25T15:30:00.000Z,473.0775,473.16,470.69,471.34,73710
2025-09-25T16:00:00.000Z,471.35,471.75,469.91,470.1,44173
2025-09-25T16:30:00.000Z,470.2,471.76,470.2,471.24,102066
2025-09-25T17:00:00.000Z,471.57,472.76,471.38,472.45,36281
2025-09-25T17:30:00.000Z,472.37,472.92,471.71,472.09,44247
2025-09-25T18:00:00.000Z,471.93,473.456,471.87,473.18,49320
2025-09-25T18:30:00.000Z,473.34,474.825,473.28,474.67,48083
2025-09-25T19:00:00.000Z,474.54,474.96,473.62,473.86,70040
2025-09-25T19:30:00.000Z,474.03,474.61,473.53,473.74,181790
2025-09-26T13:30:00.000Z,472.73,475,472.305,474.005,125322
2025-09-26T14:00:00.000Z,474.005,475.1569,472.205,474.53,77523
2025-09-26T14:30:00.000Z,474.56,474.59,473.38,473.585,106619
2025-09-26T15:00:00.000Z,473.42,473.42,471.65,472.06,111369
2025-09-26T15:30:00.000Z,471.83,472.34,470.91,471.12,106182
2025-09-26T16:00:00.000Z,471.205,472.335,470.72,472.28,76557
2025-09-26T16:30:00.000Z,472.165,473.33,472.16,473.145,138159
2025-09-26T17:00:00.000Z,473.5,473.9,473.1,473.58,27669
2025-09-26T17:30:00.000Z,473.56,473.98,473.15,473.63,28193
2025-09-26T18:00:00.000Z,473.63,474.03,473.16,473.96,28710
2025-09-26T18:30:00.000Z,473.8101,474.37,473.612,474.14,46500
2025-09-26T19:00:00.000Z,474.16,474.6699,473.425,473.75,36570
2025-09-26T19:30:00.000Z,473.705,474.71,473.535,474.41,178801
2025-09-29T13:30:00.000Z,474.74,476.41,471.4,471.8,202965
2025-09-29T14:00:00.000Z,471.84,475.02,471.84,474.11,99957
2025-09-29T14:30:00.000Z,474.11,475.46,472.96,474.805,117641
2025-09-29T15:00:00.000Z,474.88,475.65,473.88,474.975,105281
2025-09-29T15:30:00.000Z,474.965,475.16,473.12,473.23,54587
2025-09-29T16:00:00.000Z,473.4,473.935,472.98,473.68,41982
2025-09-29T16:30:00.000Z,473.68,474.72,473.63,474.355,65729
2025-09-29T17:00:00.000Z,474.43,474.93,474.16,474.2,24686
2025-09-29T17:30:00.000Z,474.115,475.11,474.115,474.98,31755
2025-09-29T18:00:00.000Z,474.9,475.86,474.9,475.265,42980
2025-09-29T18:30:00.000Z,475.265,475.6,474.46,475.03,37998
2025-09-29T19:00:00.000Z,475.12,475.18,473.77,474.94,59226
2025-09-29T19:30:00.000Z,474.92,476.71,474.92,476.65,223315
2025-09-30T13:30:00.000Z,473.7,477.74,473.23,477.505,144367
2025-09-30T14:00:00.000Z,477.67,478.78,476.69,478.13,93045
2025-09-30T14:30:00.000Z,478.24,478.77,476.59,476.935,73165
2025-09-30T15:00:00.000Z,477.005,477.9,476,476.57,107098
