Date,Open,High,Low,Close,Volume
2025-09-22T13:30:00.000Z,597.74,599.38,597.72,599.17,6992519
2025-09-22T14:00:00.000Z,599.165,599.98,598.75,599.9301,4684049
2025-09-22T14:30:00.000Z,599.92,600.579,599.6115,600.47,3599113
2025-09-22T15:00:00.000Z,600.46,600.72,599.93,600.32,3164634
2025-09-22T15:30:00.000Z,600.33,600.44,599.77,600.13,7263727
2025-09-22T16:00:00.000Z,600.11,601.63,600.0907,601.565,4576139
2025-09-22T16:30:00.000Z,601.578,602.07,601.49,601.89,3675412
2025-09-22T17:00:00.000Z,601.895,602.0436,601.56,601.94,1909837
2025-09-22T17:30:00.000Z,601.935,602.205,601.68,601.94,2198516
2025-09-22T18:00:00.000Z,601.93,602.525,601.88,602.42,2454705
2025-09-22T18:30:00.000Z,602.42,602.65,602.27,602.5,3096411
2025-09-22T19:00:00.000Z,602.515,602.87,602.41,602.635,2354921
2025-09-22T19:30:00.000Z,602.64,602.69,602,602.24,6301589
2025-09-23T13:30:00.000Z,602.37,602.57,600.69,600.87,6446385
2025-09-23T14:00:00.000Z,600.89,601.41,600.62,601.19,4279601
2025-09-23T14:30:00.000Z,601.21,601.7,600.81,600.97,3060840
2025-09-23T15:00:00.000Z,600.97,601.57,600.675,601.3,4384380
2025-09-23T15:30:00.000Z,601.3,601.39,600.61,601,2449651
2025-09-23T16:00:00.000Z,601,601.2006,600.26,600.6501,2988355
2025-09-23T16:30:00.000Z,600.65,601.15,600.3,600.58,2891526
2025-09-23T17:00:00.000Z,600.58,600.62,599.06,599.135,4098386
2025-09-23T17:30:00.000Z,599.12,599.38,596.98,598.35,7725211
2025-09-23T18:00:00.000Z,598.35,598.6,597.21,597.74,4081521
2025-09-23T18:30:00.000Z,597.73,598.34,597.1,597.2501,3265305
2025-09-23T19:00:00.000Z,597.26,598.16,597.23,597.515,2976785
2025-09-23T19:30:00.000Z,597.515,598.46,597.51,598.14,7798477
2025-09-24T13:30:00.000Z,599.58,599.9,597.13,598.0013,7323001
2025-09-24T14:00:00.000Z,597.99,598.46,597.6,597.93,3518838
2025-09-24T14:30:00.000Z,597.92,598.22,597.27,597.342,2853647
2025-09-24T15:00:00.000Z,597.35,597.73,596.9402,597.355,2450156
2025-09-24T15:30:00.000Z,597.36,597.365,594.55,594.6,6211324
2025-09-24T16:00:00.000Z,594.6,595.21,593.36,595.05,7048338
2025-09-24T16:30:00.000Z,595.05,595.24,594.6,594.74,2410344
2025-09-24T17:00:00.000Z,594.75,596.1,594.68,595.88,2725858
2025-09-24T17:30:00.000Z,595.88,596.47,595.13,595.34,2230798
2025-09-24T18:00:00.000Z,595.34,595.49,594.0448,595.16,2217927
2025-09-24T18:30:00.000Z,595.1662,596.095,595.06,596.05,2063324
2025-09-24T19:00:00.000Z,596.05,596.11,595.455,595.66,1733754
2025-09-24T19:30:00.000Z,595.66,596.31,595.11,596.06,4203307
2025-09-25T13:30:00.000Z,592.2,592.23,588.5,589.23,12061016
2025-09-25T14:00:00.000Z,589.23,593.79,589.07,593.25,7124945
2025-09-25T14:30:00.000Z,593.25,594.139,593,593.6271,4852186
2025-09-25T15:00:00.000Z,593.63,594.12,592.39,592.75,4556774
2025-09-25T15:30:00.000Z,592.73,595.115,592.73,594.665,4090487
2025-09-25T16:00:00.000Z,594.66,595,593.54,593.57,3150328
2025-09-25T16:30:00.000Z,593.57,594.51,593.1,593.3844,2699602
2025-09-25T17:00:00.000Z,593.38,593.85,591.93,592.68,3427050
2025-09-25T17:30:00.000Z,592.67,592.93,590.6593,590.78,3656132
2025-09-25T18:00:00.000Z,590.79,592.48,589.26,592.33,5729546
2025-09-25T18:30:00.000Z,592.33,593.74,592.01,593.44,5645251
2025-09-25T19:00:00.000Z,593.44,593.68,592.61,592.96,3308978
2025-09-25T19:30:00.000Z,592.96,593.86,592.585,593.55,4973532
2025-09-26T13:30:00.000Z,594.35,595.765,592.96,595.525,7581508
2025-09-26T14:00:00.000Z,595.55,596.2,591.06,592.23,6835380
2025-09-26T14:30:00.000Z,592.25,594.01,591.54,592.18,4920639
2025-09-26T15:00:00.000Z,592.18,593.8,591.72,593.77,3922887
2025-09-26T15:30:00.000Z,593.77,593.87,592.44,592.565,3873262
2025-09-26T16:00:00.000Z,592.585,594.945,592.27,594.48,2932472
2025-09-26T16:30:00.000Z,594.48,595.39,594.02,595.175,2557490
2025-09-26T17:00:00.000Z,595.18,595.8086,595.04,595.63,3209724
2025-09-26T17:30:00.000Z,595.63,595.73,594.57,595.205,2933411
2025-09-26T18:00:00.000Z,595.2,596.11,594.73,595.78,2248501
2025-09-26T18:30:00.000Z,595.79,596.3,595.51,596.035,2234828
2025-09-26T19:00:00.000Z,596.03,596.25,595.59,596.03,1952569
2025-09-26T19:30:00.000Z,596.03,596.27,595.4045,596.05,4944850
2025-09-29T13:30:00.000Z,599.11,601.57,599.045,601.26,6860481
2025-09-29T14:00:00.000Z,601.26,602.05,600.68,601.605,4406263
2025-09-29T14:30:00.000Z,601.605,601.72,600.805,600.945,2915881
2025-09-29T15:00:00.000Z,600.94,601.278,599.37,599.48,3208226
2025-09-29T15:30:00.000Z,599.48,599.64,598.64,599.07,2787611
