Date,Open,High,Low,Close,Volume
2025-09-22T13:30:00.000Z,237.03,237.54,235.63,236.31,138169
2025-09-22T13:35:00.000Z,236.08,236.29,235.11,235.9405,52167
2025-09-22T13:40:00.000Z,236.0871,237.12,235.87,236.92,62634
2025-09-22T13:45:00.000Z,236.92,237.83,236.92,237.6425,54733
2025-09-22T13:50:00.000Z,237.665,238.09,237.603,238.01,45482
2025-09-22T13:55:00.000Z,238.015,238.655,237.91,238.545,93251
2025-09-22T14:00:00.000Z,238.66,238.92,238.335,238.44,70707
2025-09-22T14:05:00.000Z,238.55,238.64,238.27,238.5,44596
2025-09-22T14:10:00.000Z,238.5,238.69,238.2852,238.48,36810
2025-09-22T14:15:00.000Z,238.52,239.31,238.225,239.2386,43035
2025-09-22T14:20:00.000Z,239.225,239.69,239.09,239.69,42039
2025-09-22T14:25:00.000Z,239.59,240.32,239.2596,239.635,117135
2025-09-22T14:30:00.000Z,239.635,239.77,238.86,239.39,75140
2025-09-22T14:35:00.000Z,239.37,239.38,238.7,238.82,28025
2025-09-22T14:40:00.000Z,238.85,238.985,238.24,238.295,28460
2025-09-22T14:45:00.000Z,238.41,238.64,238.325,238.435,34153
2025-09-22T14:50:00.000Z,238.5,238.64,238.1862,238.24,24047
2025-09-22T14:55:00.000Z,238.255,238.425,238.07,238.23,18972
2025-09-22T15:00:00.000Z,238.245,238.32,237.93,238.21,30909
2025-09-22T15:05:00.000Z,238.16,238.32,237.95,238.035,24643
2025-09-22T15:10:00.000Z,238.09,238.27,237.9301,238.1678,22055
2025-09-22T15:15:00.000Z,238.225,238.51,238.15,238.51,16710
2025-09-22T15:20:00.000Z,238.43,238.55,238.29,238.39,25543
2025-09-22T15:25:00.000Z,238.29,238.61,238.29,238.54,27223
2025-09-22T15:30:00.000Z,238.54,238.87,238.54,238.81,25709
2025-09-22T15:35:00.000Z,238.81,238.92,238.4025,238.85,32000
2025-09-22T15:40:00.000Z,238.78,238.79,238.51,238.67,27836
2025-09-22T15:45:00.000Z,238.7,238.7,238.17,238.17,20815
2025-09-22T15:50:00.000Z,238.18,238.18,237.85,237.925,19791
2025-09-22T15:55:00.000Z,237.86,238.21,237.85,238.21,19923
2025-09-22T16:00:00.000Z,238.13,238.23,237.89,237.97,36244
2025-09-22T16:05:00.000Z,237.97,238.075,237.89,237.92,18123
2025-09-22T16:10:00.000Z,237.85,238.03,237.77,238.015,19092
2025-09-22T16:15:00.000Z,237.99,238.19,237.88,238.1,24815
2025-09-22T16:20:00.000Z,238.12,238.21,237.97,238.18,19923
2025-09-22T16:25:00.000Z,238.085,238.92,238.055,238.635,35686
2025-09-22T16:30:00.000Z,238.64,238.74,238.05,238.27,37067
2025-09-22T16:35:00.000Z,238.27,238.39,238.1,238.25,28808
2025-09-22T16:40:00.000Z,238.36,238.38,238.055,238.145,34481
2025-09-22T16:45:00.000Z,238.07,238.61,238.06,238.61,17547
2025-09-22T16:50:00.000Z,238.605,238.67,238.51,238.555,19639
2025-09-22T16:55:00.000Z,238.49,238.82,238.49,238.765,36888
2025-09-22T17:00:00.000Z,238.765,239,238.6625,238.81,20965
